-bash-4.2$ /scratch/repo/libPSI/bin/frontend.exe -cuckoo  -h 2 -x 72 -nn 6 -nnEnd 22  -e 2.4  -eStep 0.1 -eEnd 5 -t 24
#threads=72  trials=24 n=64 nEnd=4194304
e=4.500   |set|=4096  |cuckoo|=18431  16.557                                 00  >24.000  >24.000
e=4.600   |set|=4096  |cuckoo|=18841  16.705                                 00  >24.000  >24.000
e=4.700   |set|=4096  |cuckoo|=19251  16.956                                 00  >24.000  >24.000
e=4.800   |set|=4096  |cuckoo|=19660  17.193                                 00  >24.000  >24.000
e=4.900   |set|=4096  |cuckoo|=20070  17.371                                 00  >24.000  >24.000
e=5.000   |set|=4096  |cuckoo|=20479  17.400                                 00  >24.000  >24.000
e=2.400   |set|=16384  |cuckoo|=39321  10.431  18.023                                 00  >24.000
e=2.500   |set|=16384  |cuckoo|=40960  11.404  20.300  24.000                                 006
e=2.600   |set|=16384  |cuckoo|=42598  12.222  21.000                                 00  >24.000
e=2.700   |set|=16384  |cuckoo|=44236  12.856  22.000                                 00  >24.000
e=2.800   |set|=16384  |cuckoo|=45875  13.448  24.000                                 00  >24.000
e=2.900   |set|=16384  |cuckoo|=47513  14.001                                 00  >24.000  >24.000
e=3.000   |set|=16384  |cuckoo|=49152  14.516  24.000                                 00  >24.000
e=3.100   |set|=16384  |cuckoo|=50790  14.790                                 00  >24.000  >24.000
e=3.200   |set|=16384  |cuckoo|=52428  15.360                                 00  >24.000  >24.000
e=3.300   |set|=16384  |cuckoo|=54067  15.528                                 00  >24.000  >24.000573
e=3.400   |set|=16384  |cuckoo|=55705  15.907                                 00  >24.000  >24.000
e=3.500   |set|=16384  |cuckoo|=57344  16.356                                 00  >24.000  >24.000
e=3.600   |set|=16384  |cuckoo|=58982  16.651                                 00  >24.000  >24.000
e=3.700   |set|=16384  |cuckoo|=60620  16.840                                 00  >24.000  >24.000
e=3.800   |set|=16384  |cuckoo|=62259  17.105                                 00  >24.000  >24.000
e=3.900   |set|=16384  |cuckoo|=63897  17.524                                 00  >24.000  >24.000
e=4.000   |set|=16384  |cuckoo|=65536  17.476                                 00  >24.000  >24.000
e=4.100   |set|=16384  |cuckoo|=67174  18.023                                 00  >24.000  >24.000
e=4.200   |set|=16384  |cuckoo|=68812  18.508                                 00  >24.000  >24.000
e=4.300   |set|=16384  |cuckoo|=70451  17.956                                 00  >24.000  >24.000
e=4.400   |set|=16384  |cuckoo|=72089  18.508                                 00  >24.000  >24.000
e=4.500   |set|=16384  |cuckoo|=73727  18.608                                 00  >24.000  >24.000
e=4.600   |set|=16384  |cuckoo|=75366  18.791                                 00  >24.000  >24.000
e=4.700   |set|=16384  |cuckoo|=77004  19.093                                 00  >24.000  >24.000
e=4.800   |set|=16384  |cuckoo|=78643  19.245                                 00  >24.000  >24.000
e=4.900   |set|=16384  |cuckoo|=80281  19.193                                 00  >24.000  >24.000
e=5.000   |set|=16384  |cuckoo|=81919  19.193                                 00  >24.000  >24.000
e=2.400   |set|=65536  |cuckoo|=157286  12.371  22.415                                 00  >24.000
e=2.500   |set|=65536  |cuckoo|=163840  13.361  23.000                                 00  >24.000
e=2.600   |set|=65536  |cuckoo|=170393  14.145  24.000                                 00  >24.000
e=2.700   |set|=65536  |cuckoo|=176947  14.830                                 00  >24.000  >24.000
e=2.800   |set|=65536  |cuckoo|=183500  15.488                                 00  >24.000  >24.000
e=2.900   |set|=65536  |cuckoo|=190054  16.063                                 00  >24.000  >24.000
e=3.000   |set|=65536  |cuckoo|=196608  16.500                                 00  >24.000  >24.000
e=3.100   |set|=65536  |cuckoo|=203161  16.967                                 00  >24.000  >24.000
e=3.200   |set|=65536  |cuckoo|=209715  17.011                                 00  >24.000  >24.000
e=3.300   |set|=65536  |cuckoo|=216268  17.524                                 00  >24.000  >24.000
e=3.400   |set|=65536  |cuckoo|=222822  18.142                                 00  >24.000  >24.000
e=3.500   |set|=65536  |cuckoo|=229376  18.245                                 00  >24.000  >24.000
e=3.600   |set|=65536  |cuckoo|=235929  18.356                                 00  >24.000  >24.000
e=3.700   |set|=65536  |cuckoo|=242483  18.715                                 00  >24.000  >24.000
e=3.800   |set|=65536  |cuckoo|=249036  18.871                                 00  >24.000  >24.000
e=3.900   |set|=65536  |cuckoo|=255590  19.356                                 00  >24.000  >24.000
e=4.000   |set|=65536  |cuckoo|=262144  19.830                                 00  >24.000  >24.000
e=4.100   |set|=65536  |cuckoo|=268697  19.752                                 00  >24.000  >24.000
e=4.200   |set|=65536  |cuckoo|=275251  20.193                                 00  >24.000  >24.000
e=4.300   |set|=65536  |cuckoo|=281804  19.913                                 00  >24.000  >24.000


e=2.500   |set|=131072  |cuckoo|=327680  14.347                                 00  >24.000  >24.000
e=2.600   |set|=131072  |cuckoo|=340787  15.269                                 00  >24.000  >24.000
e=2.700   |set|=131072  |cuckoo|=353894  15.840                                 00  >24.000  >24.000
e=2.800   |set|=131072  |cuckoo|=367001  16.565                                 00  >24.000  >24.000
e=2.900   |set|=131072  |cuckoo|=380108  16.934                                 00  >24.000  >24.000


/scratch/repo/libPSI/bin/frontend.exe -cuckoo  -h 2 -x 72 -nn 18 -nnEnd 18  -e 3 -eStep 0.1 -eEnd 5 -t 24


